Team_ID,Season,CleanSheets,GoalConceded,GoalsConcededPerMatch,Saves,Tackle,TackleSuccess%,BlockedShots,Interceptions,Clearances,HeadedClearance,AerialBattle/DuelsWon,ErrorsLeadingToGoal,OwnGoals
1,2023/24,18,29,0.76,55,610,57%,218,292,481,265,"2,306",7,1
1,2022/23,14,43,1.13,95,568,60%,184,237,567,283,"2,336",8,1
1,2021/22,13,48,1.26,100,540,58%,171,296,636,315,"2,148",5,1
1,2020/21,12,39,1.03,96,456,55%,125,351,615,328,"2,171",5,4
1,2019/20,10,48,1.26,147,584,58%,99,351,703,388,"2,447",5,0
1,2018/19,8,51,1.34,133,609,60%,128,412,762,404,"2,489",13,2
1,2017/18,13,51,1.34,100,623,68%,162,427,829,449,"2,660",15,0
1,2016/17,13,44,1.16,124,674,70%,162,535,839,466,"2,762",4,1
1,2015/16,18,36,0.95,118,709,73%,155,734,849,358,"2,785",5,3
1,2014/15,13,36,0.95,96,739,75%,171,762,"1,006",565,"3,242",8,1
4,2023/24,8,63,1.66,128,663,57%,143,298,731,357,"2,401",6,3
4,2022/23,10,47,1.24,116,740,60%,146,341,628,312,"2,574",7,3
4,2021/22,16,33,0.87,84,621,56%,176,347,616,298,"2,456",6,1
4,2020/21,18,36,0.95,73,612,56%,152,382,614,340,"2,479",8,1
4,2019/20,9,54,1.42,65,638,57%,178,459,586,296,"2,894",3,3
4,2018/19,16,39,1.03,85,618,59%,199,351,593,330,"2,548",3,0
4,2017/18,16,38,1.00,83,636,67%,173,423,768,419,"2,771",5,2
4,2016/17,16,33,0.87,69,652,71%,156,510,839,484,"2,682",5,1
4,2015/16,9,53,1.39,122,790,76%,157,518,790,328,"2,793",9,2
4,2014/15,17,32,0.84,90,759,81%,148,376,"1,027",611,"3,075",3,1
2,2023/24,8,61,1.61,116,547,57%,143,236,562,281,"2,040",6,4
2,2022/23,12,46,1.21,109,631,54%,128,324,663,347,"2,314",8,4
2,2021/22,11,54,1.42,98,634,60%,131,340,629,296,"2,549",3,2
2,2020/21,15,46,1.21,142,530,53%,145,387,736,389,"2,916",5,2
2,2019/20,7,67,1.72,116,523,56%,122,423,840,361,"2,829",11,1
2,2015/16,6,76,2.00,116,731,77%,103,768,973,429,"2,956",15,4
2,2014/15,10,57,1.50,112,623,75%,104,487,"1,130",661,"2,726",10,1
127,2023/24,9,67,1.76,133,693,59%,156,357,788,359,"2,630",7,1
127,2022/23,8,71,1.92,136,618,60%,96,353,971,527,"2,355",3,3
127,2019/20,5,65,1.71,131,507,59%,120,475,926,471,"2,811",6,0
127,2018/19,10,70,1.84,110,526,57%,108,371,"1,019",515,"2,676",11,3
127,2017/18,6,61,1.61,111,508,64%,133,367,"1,037",523,"2,681",11,1
127,2016/17,10,67,1.76,123,605,74%,118,462,"1,091",605,"2,586",7,5
127,2015/16,7,67,1.76,90,709,73%,142,640,951,474,"2,664",10,0
130,2023/24,7,65,1.71,121,677,59%,120,378,865,419,"2,614",10,0
130,2022/23,12,46,1.21,154,587,57%,85,341,770,411,"2,584",5,3
130,2021/22,9,56,1.47,129,607,56%,126,393,809,413,"2,671",2,2
131,2023/24,6,62,1.63,108,644,57%,167,288,572,270,"2,211",10,2
131,2022/23,12,53,1.39,85,616,55%,164,303,412,206,"2,258",4,6
131,2021/22,11,44,1.16,104,668,60%,140,358,684,358,"2,482",1,1
131,2020/21,12,46,1.21,82,628,53%,156,425,560,301,"2,404",3,2
131,2019/20,9,54,1.42,117,641,59%,129,419,704,361,"2,701",3,3
131,2018/19,7,60,1.58,111,681,58%,89,463,921,499,"2,914",5,0
