Team_ID,Season,YellowCards,RedCards,Fouls,Offsides
1,2023/24,62,2,267,87
1,2022/23,52,0,195,56
1,2021/22,60,4,194,66
1,2020/21,47,5,184,61
1,2019/20,86,5,251,73
1,2018/19,72,2,227,89
1,2017/18,57,2,231,89
1,2016/17,68,3,216,95
1,2015/16,40,4,202,86
1,2014/15,68,2,189,64
4,2023/24,105,4,329,85
4,2022/23,77,3,227,74
4,2021/22,63,1,240,69
4,2020/21,50,3,237,79
4,2019/20,60,0,220,63
4,2018/19,49,0,169,83
4,2017/18,42,4,195,108
4,2016/17,72,0,198,64
4,2015/16,58,5,238,90
4,2014/15,73,4,217,75
2,2023/24,94,2,292,47
2,2022/23,80,1,246,58
2,2021/22,79,3,252,52
2,2020/21,63,4,211,71
2,2019/20,68,1,226,62
2,2015/16,75,3,230,42
2,2014/15,70,7,209,70
127,2023/24,79,3,364,56
127,2022/23,69,0,188,38
127,2019/20,74,3,178,67
127,2018/19,60,1,170,57
127,2017/18,55,1,161,52
127,2016/17,52,3,178,53
127,2015/16,53,1,172,66
130,2023/24,89,2,259,70
130,2022/23,55,1,175,72
130,2021/22,61,3,213,66
131,2023/24,91,3,306,84
131,2022/23,59,0,250,70
131,2021/22,73,2,223,53
131,2020/21,46,6,228,52
131,2019/20,57,2,236,71
131,2018/19,60,4,235,90
131,2017/18,54,2,215,98
43,2023/24,71,7,291,76
43,2021/22,68,2,223,101
43,2020/21,48,1,199,80
43,2019/20,67,0,227,89
43,2018/19,75,1,172,106
43,2017/18,65,0,177,100
43,2016/17,65,2,241,101
43,2014/15,64,2,202,64
6,2023/24,69,2,355,72
6,2022/23,80,3,263,58
6,2021/22,67,1,242,63
6,2020/21,54,2,227,67
6,2019/20,62,3,233,53
6,2018/19,58,2,224,78
6,2017/18,72,0,229,56
6,2016/17,77,0,226,55
6,2015/16,60,2,239,81
6,2014/15,63,4,250,77
7,2023/24,80,1,326,89
7,2022/23,79,2,198,64
7,2021/22,78,6,206,53
7,2020/21,59,2,219,65
7,2019/20,70,3,260,58
7,2018/19,55,4,250,69
7,2017/18,51,3,280,82
7,2016/17,72,2,264,82
7,2015/16,44,5,170,55
7,2014/15,66,2,223,83
34,2023/24,78,4,289,51
34,2022/23,80,1,225,60
34,2020/21,67,3,260,43
34,2018/19,68,2,209,90
10,2023/24,65,5,349,100
10,2022/23,57,1,235,84
10,2021/22,50,1,211,63
10,2020/21,40,0,221,65
10,2019/20,38,1,181,53
10,2018/19,38,2,185,77
10,2017/18,44,1,208,70
10,2016/17,54,0,220,77
10,2015/16,61,3,240,91
10,2014/15,66,3,203,75
163,2023/24,71,0,287,67
11,2023/24,52,2,190,42
11,2022/23,44,1,178,51
11,2021/22,42,2,188,66
11,2020/21,46,2,206,57
11,2019/20,60,4,202,69
11,2018/19,44,1,193,98
11,2017/18,59,2,209,67
11,2016/17,71,4,228,89
11,2015/16,61,0,231,63
11,2014/15,77,2,265,78
12,2023/24,81,1,295,91
12,2022/23,78,2,237,80
12,2021/22,75,2,247,88
12,2020/21,64,1,256,76
12,2019/20,73,0,243,56
12,2018/19,73,4,221,90
12,2017/18,64,1,237,88
12,2016/17,78,2,268,99
12,2015/16,65,1,261,75
12,2014/15,64,5,241,87
23,2023/24,77,1,263,59
23,2022/23,62,2,217,71
23,2021/22,79,2,190,71
23,2020/21,61,3,207,60
23,2019/20,66,3,209,75
23,2018/19,57,2,266,59
23,2017/18,52,2,245,63
23,2015/16,60,5,214,59
23,2014/15,65,7,243,38
15,2023/24,78,3,311,77
15,2022/23,84,0,228,67
18,2023/24,95,5,306,64
18,2020/21,73,3,255,73
18,2019/20,61,3,201,78
21,2023/24,89,4,314,83
21,2022/23,75,3,241,67
21,2021/22,67,1,229,62
21,2020/21,53,2,268,45
21,2019/20,82,3,262,66
21,2018/19,56,3,225,74
21,2017/18,50,2,217,88
21,2016/17,62,0,238,74
21,2015/16,72,0,236,72
21,2014/15,79,4,218,77
25,2023/24,76,3,300,71
25,2022/23,44,0,195,62
25,2021/22,47,3,175,59
25,2020/21,48,3,221,74
25,2019/20,62,2,220,66
25,2018/19,59,1,182,72
25,2017/18,73,2,197,97
25,2016/17,78,5,217,74
25,2015/16,58,5,200,82
25,2014/15,64,2,220,91
38,2023/24,100,4,340,78
