Team_ID,Season,Passes,PassesPerMatch,PassAccuracy%,Crosses,CrossAccuracy%
1,2023/24,"21,052",554.00,87%,670,26%
1,2022/23,"20,450",538.16,85%,674,20%
1,2021/22,"18,290",481.32,83%,633,24%
1,2020/21,"20,126",529.63,85%,751,21%
1,2019/20,"18,649",490.76,84%,699,20%
1,2018/19,"20,805",547.50,83%,605,21%
1,2017/18,"23,524",619.05,84%,572,21%
1,2016/17,"21,392",562.95,84%,697,22%
1,2015/16,"21,249",559.18,84%,754,25%
1,2014/15,"20,527",540.18,84%,866,20%
4,2023/24,"21,926",577.00,87%,558,20%
4,2022/23,"21,149",556.55,86%,693,22%
4,2021/22,"23,179",609.97,87%,745,21%
4,2020/21,"24,070",633.42,87%,749,25%
4,2019/20,"23,245",611.71,85%,862,25%
4,2018/19,"25,070",659.74,88%,692,19%
4,2017/18,"21,264",559.58,84%,755,21%
4,2016/17,"20,125",529.61,84%,688,19%
4,2015/16,"19,664",517.47,82%,732,19%
4,2014/15,"20,268",533.37,83%,682,22%
2,2023/24,"17,876",470.42,86%,651,23%
2,2022/23,"15,940",419.47,81%,561,23%
2,2021/22,"14,886",391.74,80%,670,22%
2,2020/21,"15,189",399.71,79%,779,22%
2,2019/20,"13,835",354.74,77%,798,22%
2,2015/16,"15,308",402.84,78%,796,22%
2,2014/15,"16,527",434.92,79%,766,22%
127,2023/24,"14,204",373.79,77%,709,24%
127,2022/23,"13,931",376.51,78%,512,27%
127,2019/20,"14,694",386.68,75%,646,20%
127,2018/19,"15,943",419.55,78%,613,27%
127,2017/18,"16,131",424.50,77%,707,23%
127,2016/17,"17,145",451.18,81%,629,19%
127,2015/16,"17,270",454.47,80%,749,22%
130,2023/24,"15,223",400.61,77%,706,28%
130,2022/23,"13,920",366.32,75%,661,26%
130,2021/22,"14,604",384.32,74%,640,24%
131,2023/24,"23,547",619.66,89%,671,27%
131,2022/23,"21,280",560.00,86%,694,24%
131,2021/22,"18,835",495.66,82%,728,26%
131,2020/21,"18,185",478.55,81%,686,24%
131,2019/20,"18,188",478.63,81%,689,22%
131,2018/19,"14,109",371.29,75%,636,29%
131,2017/18,"14,675",386.18,75%,680,21%
43,2023/24,"16,447",432.82,80%,550,24%
43,2021/22,"12,319",324.18,69%,747,22%
43,2020/21,"13,846",364.37,72%,772,20%
43,2019/20,"12,814",337.21,70%,743,25%
43,2018/19,"13,011",342.39,70%,693,24%
43,2017/18,"13,572",357.16,71%,707,26%
43,2016/17,"12,559",330.50,68%,649,27%
43,2014/15,"13,632",358.74,70%,783,23%
6,2023/24,"15,252",401.37,79%,583,25%
6,2022/23,"15,707",413.34,79%,591,23%
6,2021/22,"17,309",455.50,80%,643,23%
6,2020/21,"14,067",370.18,76%,533,26%
6,2019/20,"14,688",386.53,76%,588,24%
6,2018/19,"15,243",401.13,77%,577,24%
6,2017/18,"14,372",378.21,75%,703,24%
6,2016/17,"13,543",356.39,73%,871,26%
6,2015/16,"13,785",362.76,74%,969,23%
6,2014/15,"12,071",317.66,69%,834,21%
7,2023/24,"13,764",362.21,76%,752,23%
7,2022/23,"14,152",372.42,77%,704,23%
7,2021/22,"12,944",340.63,73%,653,25%
7,2020/21,"17,132",450.84,81%,662,21%
7,2019/20,"15,826",416.47,78%,804,24%
7,2018/19,"16,494",434.05,77%,814,25%
7,2017/18,"14,749",388.13,74%,629,25%
7,2016/17,"17,584",462.74,79%,767,22%
7,2015/16,"17,947",472.29,81%,782,21%
7,2014/15,"18,809",494.97,82%,690,19%
34,2023/24,"18,587",489.13,83%,736,24%
34,2022/23,"16,197",426.24,80%,769,26%
34,2020/21,"17,796",468.32,81%,710,23%
34,2018/19,"17,699",465.76,80%,611,23%
10,2023/24,"22,515",592.50,86%,817,28%
10,2022/23,"22,401",589.50,84%,799,26%
10,2021/22,"23,588",620.74,85%,897,25%
10,2020/21,"24,292",639.26,86%,862,20%
10,2019/20,"23,872",628.21,84%,896,20%
10,2018/19,"23,638",606.10,84%,721,24%
10,2017/18,"22,962",604.26,84%,764,22%
10,2016/17,"22,283",586.39,82%,812,22%
10,2015/16,"19,733",519.29,80%,780,23%
10,2014/15,"19,374",509.84,83%,638,23%
163,2023/24,"13,310",350.26,76%,841,23%
11,2023/24,"26,251",690.82,90%,700,22%
11,2022/23,"25,072",659.79,89%,742,25%
11,2021/22,"26,132",687.68,90%,869,19%
11,2020/21,"25,651",675.03,89%,632,19%
11,2019/20,"26,329",692.87,89%,914,22%
11,2018/19,"26,581",699.50,89%,783,20%
11,2017/18,"28,241",743.18,89%,691,21%
11,2016/17,"22,705",597.50,86%,802,24%
11,2015/16,"20,488",539.16,83%,866,24%
11,2014/15,"22,107",581.76,85%,795,23%
12,2023/24,"18,074",475.63,83%,594,22%
12,2022/23,"19,086",502.26,82%,517,23%
12,2021/22,"19,035",500.92,83%,659,23%
12,2020/21,"20,996",552.53,85%,639,24%
